,model,seed,fp_types,valid_roc_auc,test_roc_auc,valid_roc_aucs,test_roc_aucs,use_time
13,xgb,8,AvalonFP_MorganFP_AtomPairFP,0.9167600875923232,0.9231549555045471,"[0.9098591967680609, 0.9033310719131615, 0.9217080902528038, 0.9321419914352662]","[0.9128315219821995, 0.9198745659900915, 0.9240601704295411, 0.9358535636163561]",148.04487991333008
14,xgb,16,AvalonFP_MorganFP_AtomPairFP,0.9230593330456286,0.9192356760561982,"[0.9120659207040807, 0.9258593941373398, 0.9307904522010315, 0.9235215651400622]","[0.9100082641033447, 0.912176891933977, 0.9224611040068201, 0.9322964441806508]",147.02791929244995
15,xgb,32,AvalonFP_MorganFP_AtomPairFP,0.9136045701749705,0.9293538790610114,"[0.9057712548239972, 0.9094549002073087, 0.9138460411338447, 0.9253460845347313]","[0.9236407766990291, 0.9242738448149256, 0.9309775297361376, 0.9385233649939533]",147.69932961463928
16,xgb,64,AvalonFP_MorganFP_AtomPairFP,0.924796146643161,0.9265881740723656,"[0.9222854770799975, 0.9191103173284599, 0.9281071973040199, 0.9296815948601663]","[0.9203601917904339, 0.9272373620106725, 0.929730791773231, 0.929024350715125]",148.11738181114197
17,xgb,128,AvalonFP_MorganFP_AtomPairFP,0.915440600409456,0.9159997541947141,"[0.908781330777497, 0.9179172320217096, 0.9109610029710754, 0.9241028358675417]","[0.9094939493949394, 0.913919064429512, 0.9172594309462916, 0.9233265720081136]",148.60048961639404
18,xgb,256,AvalonFP_MorganFP_AtomPairFP,0.912779465398584,0.9299954489798942,"[0.9080332580263422, 0.9057393023191069, 0.9121474474594841, 0.9251978537894031]","[0.9222737556561086, 0.9232708186382307, 0.9293853913693256, 0.9450518302559119]",147.85061478614807
19,xgb,512,AvalonFP_MorganFP_AtomPairFP,0.9191148070917758,0.9245422118153448,"[0.9103352301800196, 0.9127016576117086, 0.9237076970352853, 0.92971464354009]","[0.9156060606060605, 0.9223629553966634, 0.9305096712314169, 0.9296901600272387]",148.16136193275452
20,xgb,1,AvalonFP_MorganFP,0.9254119978195271,0.9185445914643432,"[0.9246943340335818, 0.9282187461101198, 0.9186577816910804, 0.9300771294433265]","[0.9163795152091255, 0.9112376514954842, 0.9244035632843026, 0.9221576358684606]",108.12401461601257
21,xgb,2,AvalonFP_MorganFP,0.9172709087881952,0.9183916237041763,"[0.9129205280710652, 0.9166909732349957, 0.9131963946615315, 0.9262757391851881]","[0.9113212780951525, 0.9189112082714623, 0.9162288129942523, 0.9271051954558379]",108.72457599639893
22,xgb,4,AvalonFP_MorganFP,0.9177837389773107,0.9256178619948553,"[0.9106997402677242, 0.9177232576814167, 0.914750110570544, 0.9279618473895581]","[0.924709581945986, 0.9168582847444635, 0.9284152859789665, 0.9324882953100051]",108.25325918197632
23,xgb,8,AvalonFP_MorganFP,0.9170766475568791,0.9209269425429372,"[0.9142555846007604, 0.9047930800542741, 0.9186645888276194, 0.9305933367448626]","[0.9099020528646182, 0.9196481260378497, 0.9223165348660434, 0.9318410564032369]",108.47005486488342
24,xgb,16,AvalonFP_MorganFP,0.9245123598672196,0.9192512432036797,"[0.9100900366226135, 0.927778231403609, 0.9340490184318899, 0.9261321530107658]","[0.9084351847824511, 0.9156906286812994, 0.9216618712702473, 0.9312172880807208]",107.89207458496094
25,xgb,32,AvalonFP_MorganFP,0.9140055691584479,0.9217005115263874,"[0.9027526020348496, 0.911046976410173, 0.9149516464194374, 0.9272710517693317]","[0.9214749813293502, 0.9167539231417772, 0.9226460833544229, 0.9259270582799994]",108.55476331710815
26,xgb,64,AvalonFP_MorganFP,0.9269801866444659,0.9273126517651535,"[0.923894028346083, 0.926320125159218, 0.9282375832464094, 0.9294690098261528]","[0.9260722430125132, 0.9284356457153721, 0.9288483056265985, 0.9258944127061302]",108.37253546714783
27,xgb,128,AvalonFP_MorganFP,0.9184357795656899,0.9181984578818645,"[0.9111701664197961, 0.9230597014925374, 0.9140719719679711, 0.9254412783824548]","[0.9112577924459112, 0.919285918737307, 0.9185415334612106, 0.923708586883029]",108.53733944892883
28,xgb,256,AvalonFP_MorganFP,0.9127024186310695,0.9280142987158785,"[0.908909278128698, 0.9057601826331467, 0.9132897778134059, 0.9228504359490275]","[0.9237518853695325, 0.9204977663444116, 0.9260828373942517, 0.941724705755318]",108.44661235809326
29,xgb,512,AvalonFP_MorganFP,0.9235547453405175,0.9245511351061226,"[0.9150411672584622, 0.925168394500499, 0.92609256216014, 0.927916857442969]","[0.9151082251082252, 0.9232209737827716, 0.929490595193691, 0.9303847463398026]",108.17129945755005
