smiles,pKi
Clc1ccc(cc1)n2c(nc3c(ncnc23)N4CCC(CC4)NC(=O)Oc5ccccc5)c6ccccc6Cl,4.973
CCCCCN1C=C(C(=O)NC2CCCCCC2)C(=O)c3c(nn(C)c13)c4ccc(Cl)cc4,5.548
Cc1ncsc1CCn2cc(C(=O)C3C(C)(C)C3(C)C)c4ccccc24,7.742
CCCn1c(C)c(C(=O)c2ccc(I)c3ccccc23)c4ccccc14,7.699
Cc1c(nn(c2ccccc2)c1c3ccccc3)C(=O)NN4CCCCC4,4.739
Cc1c(nn(c2ccc(Cl)cc2Cl)c1n3cccc3)C(=O)NC4CCCCCC4,7.699
Cc1ccc(cc1)C(NC(=O)Cc2ccccc2)NC(=O)Cc3ccccc3,6.306
CCS(=O)(=O)n1c2CN(Cc2c3cc(ccc13)C(=O)N4CCC(C)CC4)C5CCOCC5,6.666
Cl.CN1CCN(CC1)c2nc(C)nc3c2nc(c4ccccc4Cl)n3C5CC5,7.863
CCC1COc2cccc3C(=O)C(=CN1c23)C(=O)NC4C5CC6CC(CC4C6)C5,7.879
CCCCc1cc(cc(C(=O)NC2CCCCCC2)c1OC)c3ccc(OC)cc3,7.272
CCCCn1cc(C(=O)Cc2ccc(F)cc2)c3cccc(OC)c13,6.551
C(Oc1nn(CC2CCCCC2)c3ccccc13)C4CCCCC4,5.886
CCCCN1N(C)C(=C/C/1=N\C(=O)c2cc(ccc2NNC(=O)c3cccnc3)C(F)(F)F)C(C)(C)C,8.602
CC1(C)C(C(=O)c2cn(CCN3C(=O)CCC3=O)c4ccccc24)C1(C)C,6.770
CCCCCCCN(Cc1ccc(cc1)N(CC)CC)S(=O)(=O)c2ccc(F)cc2,5.958
Fc1ccc(cc1)C(N2CCN(CC2)C(=O)NC3CCCCC3)c4ccc(Cl)cc4Cl,6.799
CC1(C)C(C(=O)c2cn(CC3CCOCC3)c4ccc(cc24)c5ccccc5)C1(C)C,7.232
CCCCCN1C=C2C(=O)N(CCCCC)N=C2c3ccccc13,8.367
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCc1ccc(OC)cc1,5.347
C[C@H](NS(=O)(=O)C)c1ccc(cc1)S(=O)(=O)c2ccc(Cl)cc2Oc3ccc(Cl)cc3,6.007
CCCc1nc2ccccc2n1C(=O)c3ccc(OC)cc3,5.721
CC(C)(C)c1ccc(cc1)C(=O)c2cc(O)c(c(O)c2)c3cc(Cl)cc(Cl)c3,5.499
CCCCCn1c2ccccc2c3cc(ccc13)C(=O)NN4CCCCC4,5.793
Cc1c(nn(c2ccc(F)cc2F)c1n3c(C)ccc3C)C(=O)NCc4ccc(Cl)c(Cl)c4,5.405
CCCn1c(C)c(C(=O)c2cccc3ccc(C)cc23)c4ccccc14,7.796
CCCNC(=O)c1c2CCOCc2sc1NC(=O)c3c(F)cccc3C(F)(F)F,6.980
COc1cccc(c1)N2C(N(N=C2C(=O)C)c3ccc(Cl)cc3)c4ccc(cc4)N5CCOCC5,5.407
CC(C)(NC(=O)C1=CC2=C(CCCCCC2)N(CC3CCCCC3)C1=O)C(=O)NCC(=O)O,5.549
CC(C)C1(CNS(=O)(=O)C(F)(F)F)CCN(CC1)S(=O)(=O)c2ccc(Cl)cc2S(=O)(=O)c3ccccc3F,7.678
CCCCCCCN(Cc1ccc(cc1)N(CC)CC)S(=O)(=O)c2ccc(C)cc2,5.561
CCCCCN1C=C(NC(=O)CCc2ccccc2)C(=O)c3ccccc13,5.947
Cc1c(nn(c1c2ccc(Cl)cc2)c3ccc(Cl)cc3Cl)C(=O)NCCNCCNC(=O)c4nn(c(c4C)c5ccc(Cl)cc5)c6ccc(Cl)cc6Cl,5.891
CC(C)C(=O)N(C)C1CCCOc2c1nn(c3ccccc3Cl)c2c4ccc(Cl)cc4,5.060
CN1N(CC2CCC2)\C(=N/C(=O)c3cc(ccc3ONC(C)(C)C)C(F)(F)F)\C=C1C(C)(C)C,7.569
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)c5c(C)noc15,7.678
CC1(CC1(Cl)Cl)C(=O)c2cn(CC3CCOCC3)c4ccccc24,6.741
Clc1ccc(cc1)c2nc(sc2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCC4,5.331
CCCCCc1cc(O)cc(OCCCCCCCCCCC(=O)NCc2ccc(OC)c(O)c2)c1,5.783
C=CCn1cc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c5cc(ccc15)c6ccccc6,7.301
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)c5cc(ccc15)c6ccc(OC)nc6,7.227
CCc1ccccc1\N=C\2/SCC(C)(C)CN2C(=S)SC,7.268
CSC(=S)N1CC2(CCCCC2)CS/C/1=N\c3ccc(cc3)C#N,8.638
CCCCOC(=O)C(C)(C)c1cc(O)c2[C@@H]3CC(=CC[C@H]3C(C)(C)Oc2c1)C,8.770
FC(F)(F)c1cccc(c1)c2c[nH]c(n2)c3cccc(CN4CCOCC4)c3,7.377
CSC(=S)N1CC2(CCCCC2)CO/C/1=N\c3ccc(Cl)c4CCCCc34,8.237
CO\C=C/[C@@H]1CC[C@@H]2[C@@H](C1)c3c(O)cc(cc3OC2(C)C)C45CC6CC(CC(C6)C4)C5,7.173
Cc1c(nn(c2ccc(F)cc2F)c1n3c(C)ccc3C)C(=O)NCCC(C)(C)C,6.787
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C(=C1C)c5ccccc5,6.723
COc1ccc(cc1)C(C(=O)NCCC(c2ccccc2)c3ccccc3)c4ccccc4,6.102
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)c5cccc(C)c15,8.732
CC1(C)Oc2cc(cc(O)c2[C@@H]3CC(=CC[C@@H]13)CO)C45CC6CC(CC(C6)C4)C5,7.854
CCCn1cc(CC(=O)NC23CC4CC(CC(C4)C2)C3)c5cc(ccc15)c6ccccc6,7.928
CCCCCN1C=C(C(=O)NC2CCCCCC2)C(=O)n3nc(cc13)c4ccccc4Cl,7.987
