Title,act4,docking_score
584,0,-9.593
585,0,-9.589
586,0,-10.988
587,0,-8.093
588,0,-11.083
589,0,-9.581
590,0,-10.328
591,0,-10.391
592,0,-9.533
593,0,-9.796
594,0,-10.305
595,0,-12.266
596,0,-10.836
597,0,-11.154
598,0,-11.617
599,0,-11.847
600,0,-10.547
601,0,-11.998
602,0,-11.753
603,0,-10.999
604,0,-9.9
605,0,-8.697
606,0,-10.494
607,0,-9.541
608,0,-9.62
609,0,-10.349
610,0,-10.542
611,0,-10.998
612,0,-11.953
613,0,-12.845
614,0,-11.545
615,0,-12.26
616,0,-12.259
617,0,-10.898
618,0,-12.402
619,0,-11.521
620,0,-10.783
621,0,-9.861
622,0,-11.788
623,0,-10.997
624,0,-12.068
625,0,-11.006
626,0,-8.434
627,0,-7.608
628,0,-9.423
629,0,-10.438
630,0,-10.275
631,0,-11.406
632,0,-11.383
633,0,-10.943
634,0,-9.428
635,0,-9.428
636,0,-8.389
637,1,-8.554
638,1,-9.752
639,1,-8.08
640,1,-7.535
641,1,-9.805
642,1,-8.4
643,1,-7.382
644,1,-10.653
645,1,-10.901
646,1,-8.426
647,1,-7.886
648,1,-8.539
649,1,-8.707
650,1,-8.719
651,1,-8.608
652,1,-8.245
653,1,-8.855
654,1,-10.944
655,1,-6.973
656,1,-9.265
657,1,-7.67
658,1,-9.313
659,1,-8.81
660,1,-9.015
661,1,-8.301
662,1,-9.394
663,1,-9.003
664,1,-8.315
665,1,-9.172
666,1,-10.661
667,1,-7.535
668,1,-8.804
669,1,-9.341
670,1,-9.037
671,1,-8.969
672,1,-8.881
673,1,-9.683
674,1,-7.551
675,1,-7.685
676,1,-8.111
677,1,-7.735
678,1,-9.095
679,1,-9.324
680,1,-8.515
681,1,-7.458
682,1,-10.252
683,1,-8.616
684,1,-9.281
685,1,-9.934
686,1,-10.247
687,1,-9.622
688,1,-5.707
689,1,-9.321
690,1,-9.149
691,1,-9.364
692,1,-8.847
693,1,-9.03
694,1,-7.166
695,1,-10.409
696,1,-8.57
697,1,-8.852
698,1,-8.436
699,1,-8.695
700,1,-7.642
701,1,-8.412
702,1,-9.546
703,1,-8.247
704,1,-9.43
705,1,-9.647
706,1,-8.652
707,1,-9.6
708,1,-8.945
709,1,-10.341
710,1,-9.204
711,1,-8.707
712,1,-9.263
713,1,-7.147
714,1,-8.654
715,1,-7.766
716,1,-9.517
717,1,-9.253
718,1,-9.081
719,1,-8.494
720,1,-7.212
721,1,-9.375
722,1,-8.967
723,1,-9.072
724,1,-8.093
725,1,-9.389
726,1,-8.635
727,1,-9.946
728,1,-7.761
729,1,-7.67
730,1,-10.836
731,1,-8.501
732,1,-8.116
733,1,-8.631
734,1,-8.92
735,1,-9.142
736,1,-9.943
737,1,-9.039
738,1,-9.713
739,1,-7.598
740,1,-8.651
741,1,-9.419
742,1,-7.499
743,1,-9.377
744,1,-9.478
745,1,-8.993
746,1,-9.955
747,1,-9.488
748,1,-9.717
749,1,-11.235
750,1,-10.681
751,1,-9.85
752,1,-10.104
753,1,-10.659
754,1,-9.994
755,1,-8.173
756,1,-8.798
757,1,-9.306
758,1,-9.589
759,1,-9.226
760,1,-8.579
761,1,-9.491
762,1,-9.091
763,1,-9.108
764,1,-7.979
765,1,-9.226
766,1,-8.773
767,1,-8.874
768,1,-8.352
769,1,-9.073
770,1,-8.451
771,1,-8.973
772,1,-8.646
773,1,-9.107
774,1,-7.592
775,1,-9.825
776,1,-10.492
777,1,-9.203
778,1,-8.775
779,1,-8.095
780,1,-9.286
781,1,-8.776
782,1,-9.174
783,1,-8.826
784,1,-9.376
785,1,-9.736
786,1,-8.81
787,1,-7.77
788,1,-9.465
789,1,-9.62
790,1,-9.066
791,1,-9.391
792,1,-7.246
793,1,-7.214
794,1,-8.463
795,1,-9.898
796,1,-9.509
797,1,-8.985
798,1,-8.814
799,1,-8.849
800,1,-8.052
801,1,-8.597
802,1,-10.13
803,1,-8.786
804,1,-7.33
805,1,-8.298
806,1,-8.456
807,1,-7.093
808,1,-8.71
809,1,-8.982
810,1,-8.622
811,1,-7.991
812,1,-8.529
813,1,-8.478
814,1,-9.263
815,1,-8.425
816,1,-8.874
817,1,-8.645
818,1,-8.89
819,1,-8.257
820,1,-9.05
821,1,-7.991
822,1,-10.146
823,1,-9.123
824,1,-9.355
825,1,-8.351
826,1,-9.07
827,1,-9.271
828,1,-8.936
829,1,-8.791
830,1,-9.28
831,1,-9.162
832,1,-8.443
833,1,-9.024
834,1,-10.353
835,1,-8.864
836,1,-7.526
837,1,-9.228
838,1,-9.928
839,1,-9.593
840,1,-8.938
841,1,-7.674
842,1,-8.833
843,1,-8.983
844,1,-9.064
845,1,-10.513
846,1,-8.669
847,1,-8.994
848,1,-6.364
849,1,-8.677
850,1,-9.149
851,1,-8.816
852,1,-8.596
853,1,-10.096
854,1,-8.837
855,1,-8.254
856,1,-9.985
857,1,-9.143
858,1,-7.463
859,1,-9.067
860,1,-7.679
861,1,-8.747
862,1,-10.356
863,1,-9.78
864,1,-9.162
865,1,-7.748
866,1,-9.399
867,1,-9.752
868,1,-9.894
869,1,-8.837
870,1,-9.19
871,1,-8.91
872,1,-8.415
873,1,-8.554
874,1,-9.199
875,1,-9.313
876,1,-9.679
877,1,-8.374
878,1,-9.069
879,1,-9.22
880,1,-8.217
881,1,-7.794
882,1,-8.616
883,1,-10.591
884,1,-7.468
885,1,-10.437
886,1,-8.3
887,1,-8.946
888,1,-8.133
889,1,-9.275
890,1,-9.914
891,1,-9.691
892,1,-10.599
893,1,-8.461
894,1,-10.212
895,1,-9.482
896,1,-9.559
897,1,-8.32
898,1,-8.694
899,1,-9.165
900,1,-7.577
901,1,-7.292
902,1,-7.888
903,1,-8.472
904,1,-8.856
905,1,-9.068
906,1,-8.267
907,1,-8.78
908,1,-7.602
909,1,-8.71
910,1,-7.81
911,1,-7.933
912,1,-8.852
913,1,-9.651
914,1,-9.147
915,1,-8.708
916,1,-9.289
917,1,-10.287
918,1,-7.933
919,1,-11.072
920,1,-8.854
921,1,-8.858
922,1,-8.755
923,1,-8.929
924,1,-7.692
925,1,-8.458
926,1,-9.062
927,1,-10.153
928,1,-8.266
929,1,-7.699
930,1,-7.796
931,1,-6.875
932,1,-8.028
933,1,-8.639
934,1,-7.532
935,1,-8.504
936,1,-9.024
937,1,-8.396
938,1,-8.887
939,1,-8.825
940,1,-8.075
941,1,-7.565
942,1,-7.533
943,1,-8.189
944,1,-9.629
945,1,-8.916
946,1,-7.485
947,1,-9.524
948,1,-9.48
949,1,-8.71
950,1,-7.615
951,1,-10.529
952,1,-8.558
953,1,-8.071
954,1,-8.549
955,1,-8.88
956,1,-9.167
957,1,-9.873
958,1,-9.049
959,1,-8.623
960,1,-9.291
961,1,-10.13
962,1,-8.645
963,1,-7.846
964,1,-8.962
965,1,-7.218
966,1,-7.911
967,1,-10.339
968,1,-7.544
969,1,-9.121
970,1,-9.896
971,1,-7.404
972,1,-7.605
973,1,-8.325
974,1,-8.202
975,1,-8.678
976,1,-9.389
977,1,-8.696
978,1,-8.564
979,1,-8.695
980,1,-8.073
981,1,-8.531
982,1,-9.179
983,1,-7.181
984,1,-10.071
985,1,-10.264
986,1,-8.323
987,1,-9.303
988,1,-10.049
989,1,-8.309
990,1,-9.158
991,1,-7.635
992,1,-7.999
993,1,-7.692
994,1,-9.964
995,1,-9.098
996,1,-10.158
997,1,-7.679
998,1,-8.694
999,1,-7.828
1000,1,-9.471
1001,1,-8.488
1002,1,-8.56
1003,1,-7.949
1004,1,-9.406
1005,1,-10.15
1006,1,-8.708
1007,1,-8.724
1008,1,-9.47
1009,1,-9.282
1010,1,-7.651
1011,1,-8.85
1012,1,-9.316
1013,1,-6.337
1014,1,-8.356
1015,1,-10.541
1016,1,-8.684
1017,1,-8.64
1018,1,-9.021
1019,1,-8.134
1020,1,-8.67
1021,1,-8.613
1022,1,-8.535
1023,1,-8.357
1024,1,-9.234
1025,1,-9.176
1026,1,-8.235
1027,1,-7.923
1028,1,-9.335
1029,1,-8.396
1030,1,-8.167
1031,1,-7.565
1032,1,-7.715
1033,1,-8.583
1034,1,-10.266
1035,1,-7.743
1036,1,-9.266
1037,1,-8.815
1038,1,-8.721
1039,1,-9.201
1040,1,-6.993
1041,1,-9.256
1042,1,-7.943
1043,1,-9.082
1044,1,-7.554
1045,1,-8.658
1046,1,-7.356
1047,1,-8.018
1048,1,-9.466
1049,1,-8.599
1050,1,-8.967
1051,1,-7.974
1052,1,-8.204
1053,1,-9.07
1054,1,-8.089
1055,1,-7.43
1056,1,-8.243
1057,1,-10.58
1058,1,-8.994
1059,1,-8.971
1060,1,-9.825
1061,1,-12.36
1062,1,-8.718
1063,1,-8.537
1064,1,-9.895
1065,1,-9.05
1066,1,-8.539
1067,1,-7.519
1068,1,-7.225
1069,1,-9.082
1070,1,-7.555
1071,1,-10.343
1072,1,-7.747
1073,1,-8.4
1074,1,-6.857
1075,1,-8.25
1076,1,-9.496
1077,1,-9.052
1078,1,-8.538
1079,1,-9.136
1080,1,-9.506
1081,1,-7.165
1082,1,-9.34
1083,1,-8.548
1084,1,-7.135
1085,1,-9.873
1086,1,-8.253
1087,1,-8.024
1088,1,-8.24
1089,1,-8.352
1090,1,-7.769
1091,1,-8.024
1092,1,-7.631
1093,1,-8.352
1094,1,-9.269
1095,1,-7.666
1096,1,-8.345
1097,1,-9.021
1098,1,-9.466
1099,1,-7.807
1100,1,-9.037
1101,1,-7.702
1102,1,-7.989
1103,1,-9.675
1104,1,-7.786
1105,1,-8.218
1106,1,-7.094
1107,1,-10.1
1108,1,-8.386
1109,1,-9.515
1110,1,-9.816
1111,1,-9.268
1112,1,-9.563
1113,1,-8.159
1114,1,-8.82
1115,1,-7.341
1116,1,-8.149
1117,1,-9.582
1118,1,-9.496
1119,1,-9.534
1120,1,-8.765
1121,1,-9.128
1122,1,-9.231
1123,1,-7.9
1124,1,-8.343
1125,1,-10.357
1126,1,-7.445
1127,1,-8.255
1128,1,-9.83
1129,1,-10.354
1130,1,-9.061
1131,1,-10.162
1132,1,-11.145
1133,1,-9.824
1135,1,-7.708
1136,1,-8.57
1137,1,-8.291
1138,1,-8.417
1139,1,-9.227
1140,1,-8.294
1141,1,-7.381
1142,1,-8.072
1143,1,-9.917
1144,1,-8.33
1145,1,-8.065
1147,1,-9.757
1148,1,-9.077
1149,1,-8.098
1150,1,-8.696
1151,1,-8.552
1152,1,-9.393
1153,1,-9.163
1154,1,-8.91
1155,1,-8.875
1156,1,-8.134
1157,1,-8.143
1158,1,-9.581
1159,1,-8.976
1160,1,-8.875
1161,1,-9.097
1162,1,-8.415
1163,1,-8.691
1164,1,-9.135
1165,1,-9.535
1166,1,-9.561
1167,1,-9.452
1168,1,-7.708
1169,1,-9.037
1170,1,-9.833
1171,1,-8.475
1172,1,-7.924
1173,1,-9.732
1174,1,-10.142
1175,1,-9.392
1176,1,-9.806
1177,1,-10.533
1178,1,-8.847
1179,1,-7.921
1180,1,-8.002
1181,1,-8.448
1182,1,-8.787
1183,1,-7.655
1184,1,-9.927
1185,1,-9.061
1186,1,-9.409
1187,1,-8.025
1188,1,-9.331
1189,1,-9.843
1190,1,-8.493
1191,1,-8.311
1192,1,-5.99
1193,1,-8.979
1194,1,-8.421
1195,1,-7.782
1196,1,-8.26
1197,1,-9.058
1198,1,-10.125
1199,1,-9.069
1200,1,-7.784
1201,1,-10.276
1202,1,-7.22
1203,1,-8.007
1204,1,-9.685
1205,1,-7.962
1206,1,-9.108
1207,1,-8.588
1208,1,-9.441
1209,1,-8.809
1210,1,-8.927
1211,1,-7.979
1212,1,-10.267
1213,1,-8.434
1214,1,-8.974
1215,1,-9.516
1216,1,-7.934
1217,1,-8.327
1218,1,-10.282
1219,1,-8.699
1220,1,-11.184
1221,1,-8.668
1222,1,-9.145
1223,1,-9.454
1224,1,-7.972
1225,1,-11.446
1226,1,-9.889
1227,1,-8.707
1228,1,-8.653
1229,1,-8.152
1230,1,-9.544
1231,1,-9.121
1232,1,-9.557
1234,1,-8.011
1235,1,-7.151
1237,1,-9.292
1238,1,-10.182
1239,1,-7.639
1241,1,-10.071
1242,1,-7.907
1243,1,-8.697
1244,1,-7.719
1245,1,-9.303
1246,1,-7.288
1247,1,-8.379
1248,1,-7.717
1249,1,-7.838
1252,1,-8.702
1253,1,-9.019
1254,1,-10.352
1255,1,-8.806
1256,1,-9.541
1257,1,-7.266
1258,1,-8.802
1259,1,-8.445
1260,1,-8.787
1261,1,-7.528
1262,1,-8.258
1264,1,-10.034
1265,1,-11.756
1266,1,-10.294
1267,1,-10.113
1268,1,-8.891
1269,1,-10.135
1270,1,-9.125
1271,1,-8.126
1272,1,-9.01
1273,1,-8.958
1274,1,-9.175
1276,1,-10.031
1278,1,-7.101
1279,1,-8.279
1280,1,-7.927
1281,1,-8.784
1282,1,-8.403
1283,1,-11.437
1284,1,-9.008
1285,1,-10.498
1286,1,-10.209
1287,1,-9.772
1288,1,-8.654
1289,1,-8.689
1290,1,-7.376
1291,1,-9.815
1294,1,-9.195
1295,1,-7.201
1296,1,-8.394
1297,1,-7.684
1298,1,-8.869
1299,1,-8.032
1300,1,-10.357
1301,1,-9.881
1302,1,-8.059
1303,1,-10.501
1304,1,-10.184
1305,1,-9.008
1306,1,-8.733
1307,1,-7.754
1309,1,-7.719
1310,1,-9.286
1311,1,-7.279
1312,1,-7.687
1313,1,-8.283
1314,1,-8.371
1315,1,-8.937
1316,1,-11.989
1317,1,-10.121
1318,1,-10.356
1319,0,-9.793
1320,0,-8.394
1321,0,-8.641
1322,0,-8.908
1323,0,-8.535
1324,0,-8.057
1325,0,-7.047
1326,0,-10.438
1327,0,-8.522
1328,0,-8.646
1329,0,-9.518
1330,0,-7.051
1331,0,-8.191
1332,0,-9.607
1333,0,-11.006
1335,0,-8.912
1336,0,-9.113
1337,0,-10.649
1338,0,-8.725
1339,0,-9.161
1341,0,-7.018
1342,0,-8.184
1343,0,-9.024
1344,0,-9.451
1345,0,-9.685
1346,0,-9.049
1347,0,-8.071
1348,0,-9.403
1349,0,-8.094
1351,0,-7.679
1352,0,-7.661
1353,0,-9.431
1354,0,-7.96
1355,0,-9.004
1356,0,-8.753
1357,0,-8.022
1358,0,-8.951
1361,0,-11.239
1362,0,-7.99
1363,0,-7.9
1364,0,-7.557
1365,0,-10.606
1366,0,-13.29
1367,0,-11.679
1369,0,-8.676
1373,0,-8.627
1374,0,-8.467
1375,0,-10.446
1377,0,-11.971
1378,0,-10.478
1379,0,-11.34
1380,0,-11.154
1382,0,-10.408
1384,0,-8.63
1385,0,-11.001
1388,0,-8.418
1389,0,-10.17
1390,0,-10.037
1393,0,-11.571
1395,0,-12.605
1396,0,-7.343
1398,0,-7.45
1399,0,-7.15
1400,0,-7.92
1401,0,-10.442
1406,0,-11
1408,0,-10.173
1410,0,-10.191
1411,0,-7.654
1412,0,-11.05
1413,0,-7.15
1414,0,-7.977
1415,0,-10.543
1416,0,-11.33
1418,0,-11.769
1419,0,-13.125
1421,0,-10.123
1423,0,-8.387
1424,0,-8.699
1425,0,-12.827
1427,0,-11.004
1429,0,-12.771
1432,0,-11.204
1433,0,-8.686
1434,0,-10.987
1435,0,-13.04
1436,0,-10.953
1439,0,-7.887
1440,0,-7.681
1441,0,-12.314
1442,0,-8.202
1445,0,-12.676
1446,0,-12.799
1450,0,-10.637
1451,0,-12.033
1453,0,-7.658
1454,0,-11.981
1455,0,-8.532
1456,0,-9.487
1457,0,-8.989
1462,0,-8.454
1463,0,-7.374
1464,0,-11.488
1465,0,-10.793
1467,0,-11.333
1468,0,-8.147
1469,0,-8.574
1470,0,-11.661
1472,0,-11.109
1476,0,-11.438
1477,0,-11.026
1478,0,-8.373
1480,0,-10.974
1482,0,-12.049
1484,0,-10.474
1485,0,-11.604
1486,0,-11.78
1488,0,-11.255
1489,0,-11.49
1491,0,-12.055
1494,0,-10.933
1495,0,-11.995
1496,0,-12.407
1497,0,-12.56
1498,0,-12.387
1499,0,-11.391
1502,0,-11.647
1503,0,-11.924
1504,0,-9.818
1505,0,-12.686
1506,0,-8.509
1507,0,-10.398
1508,0,-11.108
1511,0,-11.718
1514,0,-9.49
1517,0,-9.948
1518,0,-11.227
1519,0,-9.474
1521,0,-11.291
1522,0,-12.793
1523,0,-10.851
1524,0,-12.616
1525,0,-11.854
1536,0,-10.727
1537,0,-9.299
1538,0,-11.54
1539,0,-11.248
1541,0,-6.227
1544,0,-8.156
1545,0,-8.034
1546,0,-11.549
1547,0,-11.886
1549,0,-11.332
1550,0,-11.167
1551,0,-11.008
1553,0,-8.602
1554,0,-10.067
1555,0,-10.892
1557,0,-9.762
1558,0,-10.784
1561,0,-10.721
1563,0,-10.373
1564,0,-9.308
1565,0,-11.123
1566,0,-9.839
1567,0,-10.669
1569,0,-11.358
1579,0,-12.455
1581,0,-10.312
1584,0,-11.766
1585,0,-9.468
1586,0,-10.637
1587,0,-11.941
1588,0,-12.667
1589,0,-11.149
1592,0,-12.933
1598,0,-13.68
1599,0,-12.581
1605,0,-13.015
1606,0,-12.103
1607,0,-13.286
1608,0,-12.508
1609,0,-11.22
1614,0,-11.004
1616,0,-10.149
1619,0,-12.551
1626,0,-11.038
1627,0,-10.254
1628,0,-11.476
1629,0,-11.359
1631,0,-10.962
